age,mx,qx,px,lx,dx,Lx,Tx,ex
20,0.0003511,0.000351,0.999649,1000000,351,999825,65243159,65
21,0.000391,0.0003909,0.9996091,999649,390,999454,64243335,64
22,0.0004351,0.000435,0.999565,999259,434,999042,63243881,63
23,0.0004838,0.0004837,0.9995163,998825,483,998584,62244839,62
24,0.0005375,0.0005374,0.9994626,998342,536,998074,61246255,61
25,0.0005967,0.0005965,0.9994035,997806,595,997509,60248181,60
26,0.0006617,0.0006615,0.9993385,997211,659,996882,59250673,59
27,0.0007329,0.0007327,0.9992673,996552,730,996187,58253791,58
28,0.0008109,0.0008106,0.9991894,995822,807,995419,57257604,57
29,0.0008959,0.0008955,0.9991045,995015,891,994570,56262186,57
30,0.0009885,0.000988,0.999012,994124,982,993633,55267616,56
31,0.0010889,0.0010883,0.9989117,993142,1080,992602,54273983,55
32,0.0011974,0.0011967,0.9988033,992062,1187,991469,53281381,54
33,0.0013144,0.0013135,0.9986865,990875,1301,990225,52289913,53
34,0.00144,0.0014389,0.9985611,989574,1423,988863,51299688,52
35,0.0015742,0.0015729,0.9984271,988151,1554,987374,50310826,51
36,0.001717,0.0017155,0.9982845,986597,1692,985751,49323452,50
37,0.0018683,0.0018666,0.9981334,984905,1838,983986,48337701,49
38,0.0020279,0.0020258,0.9979742,983067,1991,982072,47353715,48
39,0.0021952,0.0021928,0.9978072,981076,2151,980001,46371643,47
40,0.0023697,0.0023669,0.9976331,978925,2316,977767,45391643,46
41,0.0025506,0.0025474,0.9974526,976609,2487,975366,44413876,45
42,0.0027372,0.0027335,0.9972665000000001,974122,2662,972791,43438510,45
43,0.0029285,0.0029242,0.9970758,971460,2840,970040,42465719,44
44,0.0031232,0.0031184,0.9968816,968620,3020,967110,41495679,43
45,0.0033203,0.0033148,0.9966852,965600,3200,964000,40528569,42
46,0.0035186,0.0035124,0.9964876,962400,3380,960710,39564569,41
47,0.0037166,0.0037097,0.9962903,959020,3557,957242,38603859,40
48,0.0039132,0.0039055,0.9960945,955463,3731,953598,37646618,39
49,0.0041071,0.0040986,0.9959014,951732,3900,949782,36693020,39
50,0.0042971,0.0042879,0.9957121,947832,4064,945800,35743238,38
51,0.0044823,0.0044722,0.9955278,943768,4220,941658,34797438,37
52,0.0046615,0.0046507,0.9953493,939548,4369,937364,33855780,36
53,0.0048341,0.0048224,0.9951776,935179,4509,932925,32918417,35
54,0.0049993,0.0049868,0.9950132,930670,4641,928350,31985492,34
55,0.0051566,0.0051433,0.9948567,926029,4762,923648,31057143,34
56,0.0053056,0.0052916,0.9947084,921267,4874,918830,30133495,33
57,0.0054461,0.0054313,0.9945687,916393,4977,913905,29214665,32
58,0.0055779,0.0055624,0.9944376,911416,5069,908882,28300760,31
59,0.0057011,0.0056848,0.9943152,906347,5152,903771,27391879,30
60,0.0058157,0.0057988,0.9942012,901195,5225,898583,26488108,29
61,0.0059219,0.0059044,0.9940956,895970,5290,893325,25589525,29
62,0.0060201,0.0060021,0.9939979,890680,5345,888008,24696200,28
63,0.0061106,0.0060919,0.9939081,885335,5393,882639,23808193,27
64,0.0061936,0.0061745,0.9938255,879942,5433,877226,22925554,26
65,0.0062697,0.0062501,0.9937499,874509,5465,871777,22048329,25
66,0.0063977,0.0063773,0.9936227,869044,5542,866273,21176552,24
67,0.0065723,0.0065508,0.9934492,863502,5656,860674,20310279,24
68,0.0067972,0.0067741,0.9932259,857846,5811,854941,19449605,23
69,0.007077,0.0070521,0.9929479,852035,6008,849031,18594665,22
70,0.0074181,0.0073906,0.9926094,846027,6252,842901,17745634,21
