age,mx,qx,px,lx,dx,Lx,Tx,ex
20,0.0012102,0.0012095,0.9987905,1000000,1209,999396,66712977,67
21,0.0013454,0.0013445,0.9986555,998791,1342,998120,65713582,66
22,0.0012745,0.0012737,0.9987263,997449,1270,996814,64715462,65
23,0.0010689,0.0010683,0.9989317,996179,1064,995647,63718648,64
24,0.000836,0.0008357,0.9991643,995115,831,994700,62723001,63
25,0.000654,0.0006538,0.9993462,994284,650,993959,61728301,62
26,0.000553,0.0005528,0.9994472,993634,549,993360,60734342,61
27,0.0005278,0.0005277,0.9994723,993085,524,992823,59740983,60
28,0.0005603,0.0005601,0.9994399,992561,555,992284,58748160,59
29,0.0006333,0.0006331,0.9993669,992006,628,991692,57755876,58
30,0.0007351,0.0007348,0.9992652,991378,728,991014,56764184,57
31,0.0008597,0.0008593,0.9991407,990650,851,990225,55773170,56
32,0.0010043,0.0010038,0.9989962,989799,993,989303,54782946,55
33,0.0011676,0.0011669,0.9988331,988806,1153,988230,53793643,54
34,0.0013487,0.0013478,0.9986522,987653,1331,986988,52805414,53
35,0.0015462,0.001545,0.998455,986322,1523,985561,51818426,53
36,0.0017581,0.0017566,0.9982434,984799,1729,983935,50832866,52
37,0.0019816,0.0019797,0.9980203,983070,1946,982097,49848931,51
38,0.0022132,0.0022107,0.9977893,981124,2169,980040,48866834,50
39,0.0024486,0.0024457,0.9975543,978955,2394,977758,47886795,49
40,0.0026836,0.00268,0.99732,976561,2617,975253,46909037,48
41,0.0029136,0.0029094,0.9970906,973944,2833,972528,45933784,47
42,0.0031347,0.0031298,0.9968702,971111,3039,969592,44961257,46
43,0.0033436,0.003338,0.996662,968072,3231,966457,43991665,45
44,0.0035374,0.0035312,0.9964688,964841,3407,963138,43025209,45
45,0.0037147,0.0037078,0.9962922,961434,3564,959652,42062071,44
46,0.0038745,0.003867,0.996133,957870,3704,956018,41102419,43
47,0.0040166,0.0040086,0.9959914,954166,3824,952254,40146401,42
48,0.0041417,0.0041331,0.9958669,950342,3927,948379,39194147,41
49,0.0042506,0.0042415,0.9957585,946415,4014,944408,38245769,40
50,0.0043446,0.0043351,0.9956649,942401,4085,940359,37301361,40
51,0.0044251,0.0044153,0.9955847,938316,4142,936245,36361002,39
52,0.0044936,0.0044835,0.9955165,934174,4188,932080,35424757,38
53,0.0045516,0.0045413,0.9954587,929986,4223,927875,34492677,37
54,0.0046005,0.0045899,0.9954101,925763,4249,923639,33564803,36
55,0.0046415,0.0046307,0.9953693,921514,4267,919381,32641164,35
56,0.0046758,0.0046649,0.9953351,917247,4278,915108,31721784,35
57,0.0047044,0.0046934,0.9953066,912969,4284,910827,30806676,34
58,0.0047282,0.004717,0.995283,908685,4286,906542,29895849,33
59,0.004748,0.0047367,0.9952633,904399,4283,902258,28989307,32
60,0.0047644,0.004753,0.995247,900116,4278,897977,28087049,31
61,0.0047779,0.0047665,0.9952335,895838,4270,893703,27189072,30
62,0.0047944,0.004783,0.995217,891568,4264,889436,26295369,29
63,0.004811,0.0047994,0.9952006,887304,4258,885175,25405933,29
64,0.0048276,0.004816,0.995184,883046,4252,880920,24520758,28
65,0.0048443,0.0048325,0.9951675,878794,4246,876671,23639838,27
66,0.0048972,0.0048852,0.9951148,874548,4272,872412,22763167,26
67,0.0049875,0.0049751,0.9950249,870276,4329,868112,21890755,25
68,0.0051174,0.0051043,0.9948957,865947,4420,863737,21022644,24
69,0.0052897,0.0052757,0.9947243,861527,4545,859255,20158907,23
70,0.0055085,0.0054934,0.9945066,856982,4707,854629,19299652,23
