age,mx,qx,px,lx,dx,Lx,Tx,ex
46,0.0035372,0.003531,0.996469,954405,3369,952721,36175827,38
47,0.0037642,0.0037571,0.9962429,951036,3573,949250,35223106,37
48,0.0040076,0.0039996,0.9960004,947463,3789,945569,34273857,36
49,0.0042686,0.0042595,0.9957405,943674,4019,941665,33328288,35
50,0.0045484,0.004538,0.995462,939655,4264,937523,32386624,34
51,0.0048484,0.0048367,0.9951633,935391,4524,933129,31449101,34
52,0.0051701,0.0051568,0.9948432,930867,4800,928467,30515972,33
53,0.0055151,0.0054999,0.9945001,926067,5093,923521,29587505,32
54,0.0058849,0.0058676,0.9941324,920974,5403,918273,28663984,31
55,0.0062815,0.0062618,0.9937382,915571,5733,912705,27745712,30
56,0.0067068,0.0066843,0.9933157,909838,6081,906798,26833007,29
57,0.0071627,0.0071371,0.9928629,903757,6450,900532,25926210,29
58,0.0076516,0.0076224,0.9923776,897307,6839,893888,25025678,28
59,0.0081759,0.0081425,0.9918575,890468,7250,886843,24131790,27
60,0.008738,0.0086999,0.9913001,883218,7683,879377,23244947,26
61,0.0093407,0.0092972,0.9907028,875535,8140,871465,22365571,26
62,0.009987,0.0099373,0.9900627,867395,8619,863086,21494106,25
63,0.0106799,0.0106231,0.9893769,858776,9122,854215,20631020,24
64,0.0114229,0.0113579,0.9886421,849654,9650,844829,19776805,23
65,0.0122196,0.0121453,0.9878547,840004,10202,834903,18931976,23
66,0.0130739,0.0129888,0.9870112,829802,10778,824413,18097073,22
67,0.0139899,0.0138925,0.9861075,819024,11378,813335,17272660,21
68,0.014972,0.0148605,0.9851395,807646,12002,801645,16459325,20
69,0.0160251,0.0158974,0.9841026,795644,12648,789320,15657680,20
70,0.0171543,0.017008,0.982992,782996,13317,776338,14868360,19
71,0.0183651,0.0181975,0.9818025,769679,14006,762676,14092023,18
72,0.0196633,0.0194713,0.9805287,755673,14713,748317,13329347,18
73,0.0210554,0.0208353,0.9791647,740960,15438,733241,12581030,17
74,0.022548,0.0222957,0.9777043,725522,16176,717434,11847789,16
75,0.0241484,0.0238592,0.9761408,709346,16924,700884,11130355,16
76,0.0258645,0.0255329,0.9744671,692422,17679,683583,10429471,15
77,0.0277046,0.0273243,0.9726757,674743,18436,665525,9745889,14
78,0.0296776,0.0292415,0.9707585,656307,19191,646712,9080364,14
79,0.0317931,0.031293,0.968707,637116,19937,627148,8433652,13
80,0.0340615,0.0334879,0.9665121,617179,20668,606845,7806505,13
81,0.0364938,0.0358359,0.9641641,596511,21376,585823,7199660,12
82,0.0391018,0.0383471,0.9616529,575135,22054,564108,6613837,11
83,0.0418982,0.0410326,0.9589674,553081,22694,541734,6049729,11
84,0.0448966,0.0439037,0.9560963,530387,23285,518745,5507995,10
85,0.0481117,0.0469727,0.9530273,507102,23819,495193,4989250,10
86,0.051559,0.0502524,0.9497476,483283,24286,471140,4494058,9
87,0.0552555,0.0537566,0.9462434,458997,24674,446660,4022918,9
88,0.0592189,0.0574996,0.9425004,434323,24973,421837,3576258,8
89,0.0634687,0.0614965,0.9385035,409350,25173,396764,3154421,8
90,0.0680256,0.0657634,0.9342366,384177,25264,371545,2757658,7
91,0.0729117,0.0703171,0.9296829,358913,25237,346295,2386113,7
92,0.0781508,0.075175,0.924825,333676,25084,321134,2039818,6
93,0.0837683,0.0803557,0.9196443,308592,24797,296194,1718684,6
94,0.0897918,0.0858785,0.9141215,283795,24371,271610,1422491,5
95,0.0962504,0.0917634,0.9082366,259424,23805,247522,1150881,4
96,0.1031756,0.0980315,0.9019685,235619,23098,224070,903360,4
97,0.1106012,0.1047043,0.8952957,212521,22251,201396,679290,3
98,0.1185632,0.1118044,0.8881956,190270,21273,179634,477894,3
99,0.1271005,0.1193548,0.8806452,168997,20170,158912,298261,2
100,0.1362546,0.1273795,0.8726205,148827,18957,139349,139349,1
