age,mx,qx,px,lx,dx,Lx,Tx,ex
46,0.0033394,0.0033338,0.9966662,955414,3185,953822,39866880,42
47,0.0035248,0.0035186,0.9964814,952229,3350,950554,38913058,41
48,0.0037206,0.0037137,0.9962863,948879,3523,947118,37962504,40
49,0.0039275,0.0039198,0.9960802,945356,3705,943504,37015387,39
50,0.0041461,0.0041375,0.9958625,941651,3896,939703,36071883,38
51,0.0043769,0.0043673,0.9956327,937755,4095,935708,35132180,37
52,0.0046208,0.0046101,0.9953899,933660,4304,931508,34196473,37
53,0.0048783,0.0048665,0.9951335,929356,4522,927095,33264965,36
54,0.0051504,0.0051372,0.9948628,924834,4751,922459,32337870,35
55,0.0054379,0.0054231,0.9945769,920083,4989,917589,31415411,34
56,0.0057415,0.005725,0.994275,915094,5238,912475,30497823,33
57,0.0060622,0.0060439,0.9939561,909856,5499,907107,29585348,33
58,0.006401,0.0063806,0.9936194,904357,5770,901472,28678241,32
59,0.0067589,0.0067361,0.9932639,898587,6052,895561,27776769,31
60,0.0071369,0.0071115,0.9928885,892535,6347,889362,26881208,30
61,0.0075363,0.0075079,0.9924921,886188,6653,882862,25991847,29
62,0.0079581,0.0079265,0.9920735,879535,6971,876050,25108985,29
63,0.0084037,0.0083685,0.9916315,872564,7302,868913,24232936,28
64,0.0088744,0.0088351,0.9911649,865262,7644,861440,23364023,27
65,0.0093716,0.0093278,0.9906722,857618,7999,853619,22502583,26
66,0.0098968,0.009848,0.990152,849619,8367,845436,21648964,25
67,0.0104516,0.0103972,0.9896028,841252,8746,836879,20803529,25
68,0.0110377,0.010977,0.989023,832506,9138,827937,19966650,24
69,0.0116567,0.0115891,0.9884109,823368,9542,818597,19138713,23
70,0.0123107,0.0122352,0.9877648,813826,9957,808848,18320116,23
71,0.0130015,0.0129173,0.9870827,803869,10383,798678,17511268,22
72,0.0137312,0.0136373,0.9863627,793486,10821,788076,16712591,21
73,0.014502,0.0143973,0.9856027,782665,11268,777031,15924515,20
74,0.0153162,0.0151995,0.9848005,771397,11724,765535,15147484,20
75,0.0161763,0.0160462,0.9839538,759673,12189,753579,14381949,19
76,0.0170849,0.0169397,0.9830603,747484,12662,741153,13628371,18
77,0.0180446,0.0178828,0.9821172,734822,13140,728252,12887218,18
78,0.0190584,0.0188779,0.9811221,721682,13623,714871,12158966,17
79,0.0201293,0.019928,0.980072,708059,14110,701004,11444095,16
80,0.0212605,0.0210361,0.9789639,693949,14597,686651,10743091,15
81,0.0224555,0.0222052,0.9777948,679352,15085,671810,10056441,15
82,0.0237178,0.0234387,0.9765613,664267,15569,656483,9384631,14
83,0.0250512,0.02474,0.97526,648698,16048,640674,8728149,13
84,0.0264597,0.0261127,0.9738873,632650,16520,624390,8087475,13
85,0.0279475,0.0275606,0.9724394,616130,16980,607640,7463085,12
86,0.0295192,0.0290877,0.9709123,599150,17427,590437,6855445,11
87,0.0311794,0.0306983,0.9693017,581723,17857,572795,6265008,11
88,0.0329331,0.0323967,0.9676032999999999,563866,18267,554733,5692214,10
89,0.0347856,0.0341875,0.9658125,545599,18652,536273,5137481,9
90,0.0367425,0.0360757,0.9639243,526947,19009,517443,4601208,9
91,0.0388096,0.0380661,0.9619339,507938,19335,498271,4083766,8
92,0.0409932,0.0401643,0.9598357,488603,19624,478791,3585495,7
93,0.0432997,0.0423757,0.9576243,468979,19873,459043,3106704,7
94,0.0457362,0.0447061,0.9552939,449106,20077,439068,2647662,6
95,0.04831,0.0471616,0.9528384,429029,20233,418913,2208594,5
96,0.0510287,0.0497486,0.9502514,408796,20337,398628,1789682,4
97,0.0539006,0.0524737,0.9475263,388459,20383,378268,1391054,4
98,0.0569343,0.0553439,0.9446561,368076,20370,357891,1012787,3
99,0.0601389,0.0583663,0.9416337,347706,20294,337559,654896,2
100,0.063524,0.0615484,0.9384516,327412,20151,317337,317337,1
