age,mx,qx,px,lx,dx,Lx,Tx,ex
46,0.012232,0.0121575,0.9878425,853678,10378,848489,23926237,28
47,0.0127022,0.0126218,0.9873782,843300,10643,837979,23077748,27
48,0.0131634,0.0130772,0.9869228,832657,10888,827213,22239769,27
49,0.0136046,0.0135124,0.9864876,821769,11104,816217,21412556,26
50,0.0140157,0.013918,0.986082,810665,11282,805024,20596339,25
51,0.0143941,0.014291,0.985709,799383,11423,793672,19791315,25
52,0.0147445,0.0146363,0.9853637,787960,11532,782194,18997644,24
53,0.0150803,0.0149672,0.9850328,776428,11620,770618,18215450,23
54,0.0154192,0.0153009,0.9846991,764808,11702,758957,17444832,23
55,0.0157831,0.0156592,0.9843408,753106,11793,747210,16685875,22
56,0.0161937,0.0160633,0.9839367,741313,11907,735360,15938665,22
57,0.0166707,0.0165325,0.9834675,729406,12058,723377,15203306,21
58,0.0172294,0.0170818,0.9829182,717348,12253,711222,14479929,20
59,0.0178855,0.0177265,0.9822735,705095,12498,698846,13768707,20
60,0.0186529,0.0184801,0.9815199,692597,12799,686198,13069861,19
61,0.0195483,0.0193584,0.9806416,679798,13159,673219,12383664,18
62,0.0205908,0.0203802,0.9796198,666639,13586,659846,11710445,18
63,0.0218031,0.0215671,0.9784329,653053,14084,646011,11050599,17
64,0.0232056,0.0229384,0.9770616,638969,14656,631641,10404588,16
65,0.0248127,0.0245074,0.9754926,624313,15300,616663,9772947,16
66,0.0266307,0.0262792,0.9737208,609013,16004,601011,9156284,15
67,0.0286639,0.028257,0.971743,593009,16756,584631,8555273,14
68,0.0309184,0.0304453,0.9695547,576253,17544,567481,7970642,14
69,0.0334059,0.0328541,0.9671459,558709,18355,549532,7403161,13
70,0.0361484,0.0355028,0.9644972,540354,19184,530762,6853630,13
71,0.0391721,0.0384148,0.9615852,521170,20020,511160,6322868,12
72,0.0424992,0.0416087,0.9583913,501150,20852,490724,5811708,12
73,0.0461372,0.0450891,0.9549109,480298,21656,469470,5320984,11
74,0.0500837,0.0488502,0.9511498,458642,22404,447440,4851514,11
75,0.0543282,0.0528788,0.9471212,436238,23067,424705,4404074,10
76,0.0588627,0.0571638,0.9428362,413171,23618,401362,3979369,10
77,0.0636898,0.061704,0.938296,389553,24036,377535,3578007,9
78,0.0688438,0.0665275,0.9334725,365517,24316,353359,3200472,9
79,0.0743853,0.0716861,0.9283139,341201,24459,328972,2847113,8
80,0.0803907,0.0772442,0.9227558,316742,24466,304509,2518142,8
81,0.0869221,0.0832515,0.9167485,292276,24332,280110,2213633,8
82,0.0940031,0.0897201,0.9102799,267944,24039,255925,1933523,7
83,0.1015679,0.0965802,0.9034198,243905,23556,232127,1677598,7
84,0.1094622,0.1036839,0.8963161,220349,22846,208926,1445471,7
85,0.117462,0.1108257,0.8891743,197503,21888,186559,1236545,6
86,0.1253624,0.1178229,0.8821771,175615,20691,165270,1049986,6
87,0.1330196,0.1245521,0.8754479,154924,19296,145276,884717,6
88,0.1404252,0.1310114,0.8689886,135628,17768,126744,739441,5
89,0.1476724,0.1372863,0.8627137,117860,16180,109770,612697,5
90,0.154963,0.1435531,0.8564469,101680,14596,94382,502927,5
91,0.159645,0.1475536,0.8524464,87084,12849,80660,408545,5
92,0.1653411,0.1523955,0.8476045,74235,11313,68579,327885,4
93,0.1766556,0.1619317,0.8380683,62922,10189,57828,259307,4
94,0.1856083,0.1694012,0.8305988,52733,8933,48267,201479,4
95,0.1952861,0.1774007,0.8225993,43800,7770,39915,153213,3
96,0.1999203,0.181204,0.818796,36030,6528,32766,113298,3
97,0.2069126,0.1869093,0.8130907,29502,5514,26745,80532,3
98,0.206345,0.1864477,0.8135523,23988,4472,21752,53787,2
99,0.2082213,0.1879727,0.8120273,19516,3668,17682,32035,2
100,0.2091743,0.1887461,0.8112539,15848,2991,14353,14353,1
