age,mx,qx,px,lx,dx,Lx,Tx,ex
46,0.0033747,0.003369,0.996631,958294,3228,956680,40139633,42
47,0.0035222,0.003516,0.996484,955066,3357,953388,39182953,41
48,0.0036675,0.0036607,0.9963393,951709,3483,949968,38229565,40
49,0.0038098,0.0038026,0.9961974,948226,3605,946424,37279598,39
50,0.0039485,0.0039407,0.9960593,944621,3722,942760,36333174,38
51,0.0040827,0.0040743,0.9959257,940899,3833,938983,35390414,38
52,0.0042115,0.0042027,0.9957973,937066,3938,935097,34451432,37
53,0.0043343,0.0043249,0.9956751,933128,4035,931111,33516335,36
54,0.0044503,0.0044404,0.9955596,929093,4125,927031,32585224,35
55,0.0045586,0.0045483,0.9954517,924968,4207,922865,31658194,34
56,0.0046588,0.0046479,0.9953521,920761,4279,918622,30735329,33
57,0.00475,0.0047387,0.9952613,916482,4342,914311,29816708,33
58,0.0048317,0.00482,0.99518,912140,4396,909942,28902397,32
59,0.0049033,0.0048913,0.9951087,907744,4440,905524,27992455,31
60,0.0049644,0.0049521,0.9950479,903304,4473,901068,27086931,30
61,0.0050145,0.0050019,0.9949981,898831,4495,896584,26185863,29
62,0.0050769,0.0050641,0.9949359,894336,4528,892072,25289280,28
63,0.0051402,0.005127,0.994873,889808,4562,887527,24397208,27
64,0.0052042,0.0051907,0.9948093,885246,4595,882949,23509681,27
65,0.005269,0.0052551,0.9947449,880651,4627,878338,22626732,26
66,0.0053735,0.0053591,0.9946409,876024,4694,873677,21748395,25
67,0.00552,0.0055047,0.9944953,871330,4796,868932,20874718,24
68,0.0057117,0.0056954,0.9943046,866534,4935,864067,20005786,23
69,0.0059532,0.0059355,0.9940645,861599,5114,859042,19141719,22
70,0.0062501,0.0062306,0.9937694,856485,5336,853817,18282677,21
