age,mx,qx,px,lx,dx,Lx,Tx,ex
20,0.0017944,0.0017928,0.9982072,1000000,1792,999104,66020981,66
21,0.0019958,0.0019938,0.9980062,998208,1990,997213,65021877,65
22,0.0018994,0.0018976,0.9981024,996218,1890,995273,64024664,64
23,0.0016092,0.0016079,0.9983921,994328,1598,993529,63029391,63
24,0.001281,0.0012802,0.9987198,992730,1270,992095,62035862,62
25,0.0010264,0.0010259,0.9989741,991460,1017,990952,61043767,62
26,0.0008849,0.0008845,0.9991155,990443,876,990005,60052815,61
27,0.0008455,0.0008451,0.9991549,989567,836,989149,59062810,60
28,0.0008796,0.0008792,0.9991208,988731,869,988297,58073661,59
29,0.0009609,0.0009604,0.9990396,987862,948,987388,57085365,58
30,0.0010719,0.0010713,0.9989287,986914,1057,986386,56097977,57
31,0.0012029,0.0012021,0.9987979,985857,1185,985265,55111591,56
32,0.0013489,0.001348,0.998652,984672,1327,984009,54126327,55
33,0.0015076,0.0015064,0.9984936,983345,1481,982605,53142318,54
34,0.0016772,0.0016758,0.9983242,981864,1645,981042,52159714,53
35,0.0018565,0.0018548,0.9981452,980219,1818,979310,51178672,52
36,0.0020437,0.0020416,0.9979584,978401,1997,977403,50199362,51
37,0.002237,0.0022345,0.9977655,976404,2181,975314,49221960,50
38,0.0024343,0.0024313,0.9975687,974223,2368,973039,48246646,50
39,0.0026333,0.0026299,0.9973701,971855,2555,970578,47273607,49
40,0.0028317,0.0028277,0.9971723,969300,2740,967930,46303030,48
41,0.0030271,0.0030225,0.9969775,966560,2921,965100,45335100,47
42,0.0032173,0.0032122,0.9967878,963639,3095,962092,44370000,46
43,0.0034004,0.0033947,0.9966053,960544,3260,958914,43407909,45
44,0.0035748,0.0035684,0.9964316,957284,3415,955577,42448995,44
45,0.003739,0.003732,0.996268,953869,3559,952090,41493418,44
46,0.0038923,0.0038847,0.9961153,950310,3691,948465,40541329,43
47,0.0040339,0.0040258,0.9959742,946619,3810,944714,39592864,42
48,0.0041638,0.0041551,0.9958449,942809,3917,940851,38648150,41
49,0.0042819,0.0042727,0.9957273,938892,4011,936887,37707300,40
50,0.0043886,0.0043789,0.9956211,934881,4093,932835,36770413,39
51,0.0044843,0.0044742,0.9955258,930788,4164,928706,35837579,39
52,0.0045697,0.0045593,0.9954407,926624,4224,924512,34908873,38
53,0.0046455,0.0046347,0.9953653,922400,4275,920263,33984361,37
54,0.0047125,0.0047014,0.9952986,918125,4316,915967,33064098,36
55,0.0047715,0.0047601,0.9952399,913809,4349,911635,32148131,35
56,0.0048232,0.0048116,0.9951884,909460,4375,907273,31236497,34
57,0.0048684,0.0048565,0.9951435,905085,4395,902888,30329224,34
58,0.0049078,0.0048958,0.9951042,900690,4409,898486,29426337,33
59,0.0049421,0.0049299,0.9950701,896281,4418,894072,28527851,32
60,0.0049718,0.0049595,0.9950405,891863,4423,889652,27633779,31
61,0.0049976,0.0049852,0.9950148,887440,4424,885228,26744128,30
62,0.0050277,0.0050151,0.9949849,883016,4428,880802,25858900,29
63,0.005058,0.0050452,0.9949548,878588,4432,876372,24978098,28
64,0.0050885,0.0050755,0.9949245,874156,4436,871938,24101726,28
65,0.0051191,0.005106,0.994894,869720,4440,867500,23229788,27
66,0.0051867,0.0051733,0.9948267,865280,4476,863042,22362288,26
67,0.0052927,0.0052787,0.9947213,860804,4543,858533,21499246,25
68,0.0054393,0.0054246,0.9945754,856261,4644,853939,20640713,24
69,0.00563,0.0056141,0.9943859,851617,4781,849227,19786774,23
70,0.0058689,0.0058517,0.9941483,846836,4955,844359,18937548,22
