age,mx,qx,px,lx,dx,Lx,Tx,ex
76,0.0342419,0.0336623,0.9663377,578153,19461.0,568423,8355384,14
77,0.0356078,0.0349813,0.9650187,558692,19543.0,548921,7786962,14
78,0.0370282,0.036351,0.963649,539149,19598.0,529350,7238041,13
79,0.0385052,0.0377733,0.9622267,519551,19625.0,509739,6708691,13
80,0.0400412,0.0392502,0.9607498,499926,19622.0,490115,6198953,12
81,0.0416385,0.0407835,0.9592165,480304,19588.0,470510,5708838,12
82,0.0432994,0.0423754,0.9576246,460716,19523.0,450955,5238328,11
83,0.0450266,0.044028,0.955972,441193,19424.0,431481,4787373,11
84,0.0468228,0.0457435,0.9542565,421769,19293.0,412123,4355892,10
85,0.0486905,0.0475241,0.9524759,402476,19127.0,392913,3943770,10
86,0.0506328,0.0493723,0.9506277,383349,18926.0,373886,3550857,9
87,0.0526525,0.0512904,0.9487096,364423,18691.0,355078,3176971,9
88,0.0547528,0.0532809,0.9467191,345732,18420.0,336522,2821894,8
89,0.0569369,0.0553464,0.9446536,327312,18115.0,318255,2485372,8
90,0.0592082,0.0574894,0.9425106,309197,17775.0,300310,2167117,7
91,0.06157,0.0597129,0.9402871,291422,17401.0,282722,1866808,6
92,0.064026,0.0620194,0.9379805999999999,274021,16994.0,265524,1584086,6
93,0.0772501,0.0743417,0.9256583,257027,19107.0,247474,1318562,5
94,0.0937018,0.0894457,0.9105543,237920,21280.0,227280,1071089,5
95,0.114262,0.1079758,0.8920242,216640,23391.0,204945,843809,4
96,0.1400753,0.1307072,0.8692928,193249,25259.0,180620,638864,3
97,0.1726341,0.1585546,0.8414454,167990,26635.0,154673,458245,3
98,0.2138934,0.1925655,0.8074345,141355,27220.0,127745,303572,2
99,0.2664241,0.2338859,0.7661141,114135,26694.0,100788,175827,2
100,0.3336225,0.2836759,0.7163241,87441,24804.0,75039,75039,1
