age,mx,qx,px,lx,dx,Lx,Tx,ex
76,0.0162471,0.0161158,0.9838842,782680,12613.0,776374,13737306,18
77,0.0172007,0.0170536,0.9829464,770067,13132.0,763501,12960932,17
78,0.0182338,0.0180685,0.9819315,756935,13676.0,750097,12197431,16
79,0.0193529,0.0191668,0.9808332,743259,14245.0,736137,11447334,15
80,0.0205652,0.0203552,0.9796448,729014,14839.0,721595,10711198,15
81,0.0218786,0.021641,0.978359,714175,15455.0,706448,9989603,14
82,0.0233013,0.023032,0.976968,698720,16092.0,690674,9283156,13
83,0.0248426,0.0245366,0.9754634,682628,16749.0,674254,8592482,13
84,0.0265123,0.0261639,0.9738361,665879,17422.0,657168,7918228,12
85,0.0283211,0.0279238,0.9720762000000001,648457,18107.0,639404,7261060,11
86,0.0302805,0.0298266,0.9701734,630350,18801.0,620950,6621657,11
87,0.0324032,0.0318838,0.9681162,611549,19498.0,601800,6000707,10
88,0.0347027,0.0341074,0.9658926,592051,20193.0,581955,5398907,9
89,0.0371937,0.0365105,0.9634895,571858,20878.0,561419,4816953,8
90,0.0398923,0.0391071,0.9608929,550980,21547.0,540207,4255534,8
91,0.0464518,0.0453895,0.9546105,529433,24030.0,517418,3715327,7
92,0.0542627,0.0528168,0.9471832,505403,26693.0,492057,3197909,6
93,0.0635895,0.0616098,0.9383902,478710,29493.0,463964,2705853,6
94,0.0747573,0.0720313,0.9279687,449217,32357.0,433039,2241889,5
95,0.0881672,0.0843922,0.9156078,416860,35179.0,399271,1808851,4
96,0.1043146,0.0990582,0.9009418,381681,37808.0,362777,1409580,4
97,0.1238136,0.1164555,0.8835445,343873,40045.0,323851,1046803,3
98,0.1474267,0.1370743,0.8629257,303828,41647.0,283005,722953,2
99,0.176104,0.1614692,0.8385308,262181,42334.0,241014,439948,2
100,0.2110313,0.1902513,0.8097487,219847,41826.0,198934,198934,1
